,lr,embedding_dim,batch_size,prop,subevent,role,causation,exp,epoch,best_epoch,AMR,MRR,H@1,H@3,H@5,H@10,exp_count,method,td,syntax
35,0.002,224.0,960.0,0.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_960_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,889,0.1373776790324315,0.0359314425215741,0.0010917030567685,0.0163755458515283,0.0393013100436681,0.093886462882096,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
36,0.001,160.0,192.0,1.0,0.0,0.0,1.0,lr_0.001_ed_160_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,789,0.048498902199453,0.2445526735105591,0.1541095890410959,0.2705479452054795,0.3184931506849315,0.4041095890410959,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
37,0.001,160.0,960.0,0.0,1.0,0.0,1.0,lr_0.001_ed_160_bs_960_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,569,0.1878213959690083,0.0492305228615734,0.0054585152838427,0.0393013100436681,0.0731441048034934,0.1397379912663755,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
38,0.0001,224.0,256.0,1.0,1.0,0.0,1.0,lr_0.0001_ed_224_bs_256_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,555,0.0478206529179892,0.3037506648760587,0.2259825327510917,0.3264192139737991,0.3831877729257641,0.4617903930131004,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
39,0.0001,192.0,256.0,0.0,0.0,0.0,1.0,lr_0.0001_ed_192_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,972,0.1318527946312996,0.1915312696545696,0.0993150684931506,0.2226027397260274,0.2705479452054795,0.3595890410958904,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
40,0.002,224.0,256.0,1.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_256_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,342,151,0.0696972776745119,0.0592237792488044,0.0218340611353711,0.0425764192139738,0.0807860262008733,0.1430131004366812,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
41,0.0001,160.0,960.0,0.0,1.0,0.0,1.0,lr_0.0001_ed_160_bs_960_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,988,0.162031734769864,0.0986924580202737,0.0305676855895196,0.1048034934497816,0.1550218340611353,0.2368995633187773,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
42,0.0001,224.0,960.0,1.0,1.0,0.0,1.0,lr_0.0001_ed_224_bs_960_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,944,0.056432544938823,0.3000247264452155,0.2139737991266375,0.3176855895196506,0.3831877729257641,0.4879912663755458,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
43,0.0001,224.0,192.0,0.0,1.0,0.0,1.0,lr_0.0001_ed_224_bs_192_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,891,0.0653146437547561,0.2535391203876059,0.1495633187772925,0.2882096069868995,0.3580786026200873,0.4334061135371179,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
44,0.0005,224.0,192.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_224_bs_192_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,930,0.1192843661187564,0.1800415162630338,0.0958904109589041,0.1883561643835616,0.25,0.3698630136986301,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
45,0.0001,160.0,960.0,1.0,0.0,0.0,1.0,lr_0.0001_ed_160_bs_960_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,1000,0.2222980624783328,0.1993061582617022,0.1267123287671233,0.2260273972602739,0.2705479452054795,0.3356164383561644,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
46,0.002,160.0,256.0,1.0,1.0,0.0,1.0,lr_0.002_ed_160_bs_256_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,500,404,0.0777287720179444,0.0700189050409533,0.0251091703056768,0.0720524017467248,0.0971615720524017,0.1441048034934497,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
47,0.001,192.0,256.0,1.0,0.0,0.0,1.0,lr_0.001_ed_192_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,828,0.0540456839104811,0.241812028252376,0.136986301369863,0.2773972602739726,0.3321917808219178,0.4246575342465753,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
48,0.0001,160.0,192.0,1.0,1.0,0.0,1.0,lr_0.0001_ed_160_bs_192_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,560,0.0374012127035696,0.3035430448181374,0.2237991266375545,0.3209606986899563,0.3831877729257641,0.4705240174672489,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
49,0.002,224.0,192.0,0.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_192_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,390,369,0.175579487540196,0.017049185842887,0.0,0.0,0.0,0.0,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
50,0.0005,160.0,192.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_160_bs_192_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,998,0.0855730704518822,0.1781852781074714,0.0960698689956331,0.1921397379912663,0.2554585152838428,0.3286026200873362,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
51,0.0005,160.0,256.0,1.0,0.0,0.0,1.0,lr_0.0005_ed_160_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,820,0.0563660875929278,0.2896672268683082,0.2020547945205479,0.3082191780821918,0.3595890410958904,0.4383561643835616,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
52,0.001,160.0,256.0,1.0,1.0,0.0,1.0,lr_0.001_ed_160_bs_256_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,1000,0.0353320235888399,0.2112741478471186,0.1364628820960698,0.2270742358078602,0.2718340611353712,0.3504366812227074,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
53,0.0005,192.0,192.0,1.0,1.0,0.0,1.0,lr_0.0005_ed_192_bs_192_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,991,0.0399201890198166,0.325982499652298,0.2478165938864628,0.3580786026200873,0.4017467248908297,0.4716157205240174,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
