,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td,syntax
40,1.0,0.0,0.0,1.0,lr,H@5,-0.07608366760904267,0.6072699428104174,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
41,1.0,0.0,0.0,1.0,lr,H@10,-0.10228978181518061,0.489049327296312,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
42,1.0,0.0,0.0,1.0,embedding_dim,AMR,0.16208048155495325,0.27106056006071927,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
43,1.0,0.0,0.0,1.0,embedding_dim,MRR,-0.07183112250730883,0.6275557885670331,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
44,1.0,0.0,0.0,1.0,embedding_dim,H@1,-0.0571695001205001,0.6995283372275731,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
45,1.0,0.0,0.0,1.0,embedding_dim,H@3,-0.10784037654715466,0.46564856373391894,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
46,1.0,0.0,0.0,1.0,embedding_dim,H@5,-0.08297669669574788,0.5750060621663933,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
47,1.0,0.0,0.0,1.0,embedding_dim,H@10,-0.11702887260874889,0.42827035208765774,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
48,1.0,0.0,0.0,1.0,batch_size,AMR,0.056493268286603206,0.7029179111237298,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
49,1.0,0.0,0.0,1.0,batch_size,MRR,0.12912747036937877,0.3817319911455591,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
50,1.0,0.0,0.0,1.0,batch_size,H@1,0.2087534987819481,0.1544739153714914,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
51,1.0,0.0,0.0,1.0,batch_size,H@3,0.1272203839732596,0.38886148027044953,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
52,1.0,0.0,0.0,1.0,batch_size,H@5,0.19929881072811173,0.1744463530585694,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
53,1.0,0.0,0.0,1.0,batch_size,H@10,0.13661069545053728,0.3545141766437917,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
54,1.0,1.0,0.0,1.0,lr,AMR,0.1681347270434619,0.25332078401597596,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
55,1.0,1.0,0.0,1.0,lr,MRR,-0.6873347641536722,6.821760225150999e-08,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
56,1.0,1.0,0.0,1.0,lr,H@1,-0.6739754456594579,1.514455452502806e-07,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
